COMPANY;MES;ANO;VALOR;DATA_EMISSAO;NOTA
61c61504181d2e6c8bf66ab9fcb25fdfb140c8d40e5e3f623bc817d4e0fc4b91;8;2021;350341,68;08/09/21;26650
9982344b22000dcfc97cdc33c3c0039d286be0a47ffbbac10a49778b73a0d071;8;2021;80061,3525;08/09/21;26364
587aaac9eb899ca0f9f757f1f1250096afb88fa96934fc7e2be14790f2a3a1c8;8;2021;359906,9775;31/08/21;27195
5df97ac7ee51d36d3e66f389976e3b1da0118406d43dca53880b47986b356162;8;2021;39303,24;08/09/21;12276
a98133f5318f13c43c799ed82a6f90db3ec58ae04957165399eb61d2394c6462;8;2021;105527,3175;08/09/21;26632
8ee9dce4510479f9e153df273e778e86ee30b54a2fcd4e5f9473ecfc4bed2dd2;8;2021;474218,1;06/09/21;183388
22d9d5cffc8a719720bdb1842a4a625e22539fb14e09b719c49bda55a9c4bbd7;8;2021;74960,9925;08/09/21;26600
95dac48a0805f6259bff79560b3327bc9e5e2ce979fe9eb52c960658e6503832;8;2021;75213,345;08/09/21;1320
5db1cd43f2bfbb2b48f8e0a19c6a0155ba2ab11d61aee1f8e248224b084bd8a8;8;2021;22225,5375;08/09/21;27486
a467d2cb1c184c0a871aeef33455a61daa855233fd4a2b102a6b5acbebae4d5a;8;2021;69395,2125;08/09/21;28283
06f8949a562ed73c3dc89e637148a5c3c5095cb037accaef1364521c962ffedb;8;2021;33943,29;08/09/21;26628
45ac39e1a39ddd2bed9be802bc751e79d126ca2d5603e4e127853b9935630450;3;2022;42239,7225;01/04/22;38270
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;3;2022;17231,31;05/04/22;551558
82506e17462cb23051987529a7a3a412bba138e63bd31c0634dc047114da8e8b;3;2022;25120,8825;01/04/22;77684
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;3;2022;6217086,2475;04/04/22;214919
e08334fc83e0a68caff92b234101093144ea6af3c86edb14e5e0bb74bc2ca194;3;2022;60982,5675;01/04/22;31610
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;3;2022;542013,5325;31/03/22;317412
a2ff02c6fa90fabd4b6bc0a51fbe50a5c1c1c4c8fc2e694b51a35ddd5d0a43a4;3;2022;7308,6;01/04/22;37468
6e5083d53bf280287e75d646967cfea7a73e04c7a3b349b14ab82af84adc14a0;3;2022;56024,7675;01/04/22;34136
6c65392df906255b7c79c1b887802bc922f818200db8c76ec53c1a76f5143b47;3;2022;102927,5475;31/03/22;34923
eb894c055c058829739241ff1ad141bd9f60c3789c55881fbb6bdf031fbdf3ad;3;2022;23030,76;01/04/22;34831
0f074171fb28ccc58f8761a2dce884108d92c1db5023767bae698f2b307a1791;3;2022;219,0075;01/04/22;34108
6e54ba0504e870c69594c2889f3f76c6f81520fed24c433ca862455ececa4750;3;2022;17336,61;31/03/22;34935
b6ff24d53c30e7381676dbb2e3d4cbe492739770507128797243995a630fe035;3;2022;812571,2625;01/04/22;35536
4009febb800765b661fef7eee44e0f755062da1b7551bcec91eb4a422517945f;3;2022;6208,0725;31/03/22;1467
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;3;2022;555700,4025;04/04/22;213605
a200243480bba58b5829832c266f8d9657994468d5a9bf4513a43789b4cd3422;3;2022;1100550,72;31/03/22;34952
b323ecbccb09fb95e36ce0dec2da4699548bdfcdfcff6cc1fa678bf5db3112fb;3;2022;28023,2325;01/04/22;36044
45ac39e1a39ddd2bed9be802bc751e79d126ca2d5603e4e127853b9935630450;3;2022;42239,7225;01/04/22;38187
c79c53924117ec71ea389ce1de03f00495a5a67d45ed5ac5fc67744827464f1b;3;2022;50045,7825;05/04/22;35881
fde1d4640db25c634a26baf70376b7817765e0e53ee972e7d359a23e10ba00f7;3;2022;21724,7175;05/04/22;38807
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;3;2022;638497,3425;05/04/22;551475
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;3;2022;181076,5575;31/03/22;325997
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;3;2022;18436,095;31/03/22;321093
568494e204be7c505a1e6d18fc2bd5d498a9ad89ba439cdafda3b3ed391def31;3;2022;58679,1375;01/04/22;14414
a3a8e7c4aae18f94595e1063a890f1067373ec9588d892ea1948fb943e1ea041;3;2022;375551,085;31/03/22;35891
4aeda8377389acfbc604d5fa78cb4d17dcd5320213a1d60c8b3f51f6673d8505;3;2022;294328,3125;01/04/22;34273
a918523961b65a5c1b939176a5108eba08834a7e4e9924d4e6fe6793fbdc3f6b;3;2022;5975,085;31/03/22;22165
1623bf6bd74a8eacec21ddcea2e72a267eedea656bdf48fc0cfab80fa38004e4;3;2022;1540,9875;01/04/22;6620
4f3127408ba23b9ad93d27baa364e51c116045a811ac96d75769dcd8f6b8d8c6;3;2022;476571,315;01/04/22;160325
88d31b93730ed52eb740e5007487a2e9ca48f071d0071eaefaf42e123cb932db;3;2022;191091,3075;04/04/22;34090
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;3;2022;46208,0025;04/04/22;320257
c545e8d6e41ea7e0dd07532d1f1cb4c12e9778140fa1a60065b8a9b04e5b63c8;3;2022;43382,025;01/04/22;27734
3f0efb1fad24f56f3f2b9ef9466a97bcc275937b444d7253690cc98ba0bb7a72;5;2021;307014;02/06/21;38588
10211c51e0abcf515c64a8aaeab418cc2064a17b27f812c7292b0fb67335acb3;6;2021;174133,725;05/07/21;254
5a00f68837f506cea0835772f7dfbd6bcd7de607b6fb580bb4932cc2aa37f793;6;2021;340585,44;05/07/21;3332
85e739750a2ded64af5cff240ad9cfed7be57d190027e9b942ed5fb5dc1d4f0a;6;2021;6037,1925;05/07/21;26751
43df7b0fa6398254398f33e6a90df697687ade401dbd8329d879f07469268a98;6;2021;18999,54;07/07/21;24546
659b322adda32e456e051f1d89aadb893f21ee7822701e5e0cc872d833c6da96;8;2021;7243,0125;08/09/21;80270
9f92166005c86077f9cb6c11e7027631f5b2fd35235724a19346554a19298155;8;2021;184810,6125;08/09/21;12280
8ee9dce4510479f9e153df273e778e86ee30b54a2fcd4e5f9473ecfc4bed2dd2;8;2021;396934,9425;06/09/21;182564
2c92c75475931af9f18d26afafc7122da433432ffa334531cb88f40f3dd875da;8;2021;320663,4675;08/09/21;27066
503a048720b15d4775b4c03a71b87624494193657500d478417b4f3058c2005b;8;2021;43333,4775;08/09/21;17035
a918523961b65a5c1b939176a5108eba08834a7e4e9924d4e6fe6793fbdc3f6b;1;2021;5026,8;03/02/21;7008
587aaac9eb899ca0f9f757f1f1250096afb88fa96934fc7e2be14790f2a3a1c8;1;2021;278138,52;31/01/21;19712
4922128e8028734fd986c13f2b7462f7a67d6751adfab811c905821a51b6c59f;1;2021;225468,75;31/01/21;15559
85e739750a2ded64af5cff240ad9cfed7be57d190027e9b942ed5fb5dc1d4f0a;8;2021;53833,635;08/09/21;28868
adff7f33d1a24b2bf8eb59749dbc1281ab9277476f508a8edfc360599f83b9e5;8;2021;11977,23;08/09/21;26290
a482a0e428652dab263c14aca8dbc95c9a263e1b11b195f90efbc39d92827016;8;2021;248450,22;08/09/21;17418
491bb00e057e3c45bf3d4a3575a8e66f1e5ba48f51115a07c83b77ecfb77e10d;8;2021;95370;08/09/21;26476
7a7fb45a80dfabfca72007b24f85936253cf81458a4b4ba3eb59fd9628fc799a;10;2021;7917,345;10/11/21;26710
b8822095f4bad5fa007c4fec3ebb4cbdac1656ff609401e61c6c8f698cc9708d;10;2021;11421,6825;10/11/21;22485
d446baaa624ef831ac08a15737b46cbf343e06d7c8c18d93773eecf427b8fb2d;6;2021;28576,5;05/07/21;4469
a467d2cb1c184c0a871aeef33455a61daa855233fd4a2b102a6b5acbebae4d5a;6;2021;43426,245;05/07/21;26118
ef808b6ad3c2e31fdf3da46626f836bb043edc47fa8ee44b9787af75103a1638;3;2022;1069760,205;01/04/22;34419
0fa33f5fe1e69dbbf1f5ae7d4271c23d4cebd76b66da282db168cde82a0a68a7;3;2022;69508,32;01/04/22;35996
51d4d1034ab628e0e403aa8c0be09afce03d6d5d65042d2e0aeec6b3e146ddec;3;2022;16074,9375;31/03/22;34917
689c4ed068fcc90bfaca0797b92d5e6acaa9c6861f721debe5531fc224b5d974;3;2022;73488,3975;31/03/22;34053
7ae353f62c16f0ef9ad0b65bb6aa031fa27fbbc32d317a4adc137fbc691cf87e;3;2022;1288233,645;01/04/22;42672
b18b13e5bb1b1656d2dc6766e07ce8d76bc12c17a50f3159f2397d3f4ae04de5;3;2022;568822,23;01/04/22;8256
1691f36c91ffea1129900da7ea18abbe8b97204f6084723aac3657d9a735d658;3;2022;4699,965;01/04/22;34080
a88f77fbb1b9bc0c9f4c8a2d650e240c818fba02c7cf37151af6b594c7b519a3;3;2022;1206486,1875;04/04/22;131785
e97c19287cf4f1a566446a72325dc8d51907d537cf1961f3ace747c82da38ade;3;2022;356270,1225;01/04/22;34306
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;3;2022;2277532,8;31/03/22;211936
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;3;2022;1163,2875;04/04/22;317564
5db1cd43f2bfbb2b48f8e0a19c6a0155ba2ab11d61aee1f8e248224b084bd8a8;3;2022;21186,045;04/04/22;35183
2dc699dff82c5e83df79c190ce2df315dad356af45994d7e77d973312a096155;3;2022;388532,85;31/03/22;35023
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;3;2022;10778,0175;31/03/22;324759
ac78268421dc32d7cee87d44cd9da7dc1c578b76fe86f8af62da700c6bd60603;3;2022;147067,7625;01/04/22;34536
a467d2cb1c184c0a871aeef33455a61daa855233fd4a2b102a6b5acbebae4d5a;3;2022;66499,2525;04/04/22;36376
2c92c75475931af9f18d26afafc7122da433432ffa334531cb88f40f3dd875da;3;2022;320122,77;04/04/22;34946
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;3;2022;13756,29;31/03/22;323536
f9cfe62241b0a57a1a97429fd7b5239a51a504eee98af5cb145aeb6fabe446d9;3;2022;139361,685;04/04/22;83582
a88f77fbb1b9bc0c9f4c8a2d650e240c818fba02c7cf37151af6b594c7b519a3;3;2022;47609,9325;04/04/22;132906
0fa33f5fe1e69dbbf1f5ae7d4271c23d4cebd76b66da282db168cde82a0a68a7;10;2020;65772,6;03/11/20;17945
2c92c75475931af9f18d26afafc7122da433432ffa334531cb88f40f3dd875da;5;2021;246960,1575;02/06/21;23741
5db1cd43f2bfbb2b48f8e0a19c6a0155ba2ab11d61aee1f8e248224b084bd8a8;5;2021;18288,96;04/06/21;24080
bef150d5cfef95596f7243d9f1c66a205bf5eeca511461a76b83a2c242069235;3;2022;163832,52;31/03/22;35964
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;3;2022;5852,6025;04/04/22;318785
d4600a68a18eb94eb7becb7598a1d3f6f36eada58881fc6eb8249ad82186f047;3;2022;144215,8575;31/03/22;34960
37956109bf722b8417155c01783625e441550c09e0fc1d91dd6bf983453ace35;3;2022;210408,6825;01/04/22;34360
a6f19f04c004ac29a20c904e1306f5fa7829c683b608c11d749c90ed9f236419;3;2022;1086568,965;01/04/22;34409
d0ac63607a1b3610d3b176cc0fcc83bbcf81c5cec38245c6ba78997c66b6754d;3;2022;110130,75;31/03/22;34839
bea410d04f41874bdd9a20431b1ac7f0596f1521ea27ae828f75fe13d157b417;3;2022;164853,2325;05/04/22;34686
4329f65347af6d9e9ea48bfa380843a3581ffd9a42c65270101284e8cabb1b15;3;2022;14502,225;01/04/22;34020
50bdd24c92af81413731444c4985ace3032a2b4b34b389cb4c0d9fbd8deecb84;3;2022;308,8125;01/04/22;37851
38792e8e0e74216a6ba4dba81df2b8394aceb63ed7d43d8c17f5388b500d6923;3;2022;335186,13;31/03/22;10584
cbcc61b6ae9e0146d085c552b1ad80e82716279ce0b975d55fa883667d0ce7a8;3;2022;319634,58;04/04/22;2489
adff7f33d1a24b2bf8eb59749dbc1281ab9277476f508a8edfc360599f83b9e5;3;2022;11522,9475;05/04/22;33934
22d9d5cffc8a719720bdb1842a4a625e22539fb14e09b719c49bda55a9c4bbd7;3;2022;70632,66;04/04/22;34059
6e63340d51a92f6f6688f3ffec18a3df14f0976232b975ece415669674b2baaa;3;2022;12054,2025;01/04/22;15409
